cosine_distance,field_a,field_b,model,period_start
0.19177044932818332,11,12,specter/cls,2000
0.10261156632343305,11,13,specter/cls,2000
0.2055651351355483,11,14,specter/cls,2000
0.15677249174620078,11,15,specter/cls,2000
0.17028667534143327,11,16,specter/cls,2000
0.17993538890900285,11,17,specter/cls,2000
0.17577903441432097,11,18,specter/cls,2000
0.14581052310777698,11,19,specter/cls,2000
0.20245503599474657,11,20,specter/cls,2000
0.12412209222516124,11,21,specter/cls,2000
0.15378337065281733,11,22,specter/cls,2000
0.06546707525417639,11,23,specter/cls,2000
0.17676704261610598,11,24,specter/cls,2000
0.17158354414501797,11,25,specter/cls,2000
0.20618133992679732,11,26,specter/cls,2000
0.15172121549171458,11,27,specter/cls,2000
0.1683075759284851,11,28,specter/cls,2000
0.09170692459809648,11,29,specter/cls,2000
0.14076022435455826,11,30,specter/cls,2000
0.19626366143400042,11,31,specter/cls,2000
0.1937597133218839,11,32,specter/cls,2000
0.19333603190871473,11,33,specter/cls,2000
0.10444160042008244,11,34,specter/cls,2000
0.22334454040934093,11,35,specter/cls,2000
0.19423201084185848,11,36,specter/cls,2000
0.15121058009029864,12,13,specter/cls,2000
0.11866929315390728,12,14,specter/cls,2000
0.2079872642995606,12,15,specter/cls,2000
0.1929960593295329,12,16,specter/cls,2000
0.12263161789721211,12,17,specter/cls,2000
0.10660776578527953,12,18,specter/cls,2000
0.1743075866542959,12,19,specter/cls,2000
0.12054919516215334,12,20,specter/cls,2000
0.18480054938289958,12,21,specter/cls,2000
0.181965100321963,12,22,specter/cls,2000
0.15345643480106053,12,23,specter/cls,2000
0.2237346269411602,12,24,specter/cls,2000
0.21446806436952826,12,25,specter/cls,2000
0.14412274593371666,12,26,specter/cls,2000
0.17192083145734904,12,27,specter/cls,2000
0.1402880069512027,12,28,specter/cls,2000
0.15972875671561393,12,29,specter/cls,2000
0.16981299256052718,12,30,specter/cls,2000
0.1831855756439562,12,31,specter/cls,2000
0.06048156482227662,12,32,specter/cls,2000
0.03301558170093455,12,33,specter/cls,2000
0.20559512928553159,12,34,specter/cls,2000
0.2601089840349733,12,35,specter/cls,2000
0.10914753291225487,12,36,specter/cls,2000
0.1736457537866234,13,14,specter/cls,2000
0.11577758653350756,13,15,specter/cls,2000
0.09424397970925102,13,16,specter/cls,2000
0.1096034841071265,13,17,specter/cls,2000
0.12592417704451064,13,18,specter/cls,2000
0.16052618609224545,13,19,specter/cls,2000
0.1765892371077924,13,20,specter/cls,2000
0.12011188448648669,13,21,specter/cls,2000
0.11819081657008335,13,22,specter/cls,2000
0.11734917851652149,13,23,specter/cls,2000
0.06983161675814376,13,24,specter/cls,2000
0.1237745703141866,13,25,specter/cls,2000
0.12072214192025243,13,26,specter/cls,2000
0.05170779187093377,13,27,specter/cls,2000
0.06932792614058791,13,28,specter/cls,2000
0.06573048516010949,13,29,specter/cls,2000
0.05997760840685151,13,30,specter/cls,2000
0.12067846857047726,13,31,specter/cls,2000
0.1326813383945331,13,32,specter/cls,2000
0.16371391410187264,13,33,specter/cls,2000
0.10309975420167239,13,34,specter/cls,2000
0.19371004323084284,13,35,specter/cls,2000
0.1369421511997544,13,36,specter/cls,2000
0.182891833500211,14,15,specter/cls,2000
0.20164746673145895,14,16,specter/cls,2000
0.1098904255911679,14,17,specter/cls,2000
0.0331240158921412,14,18,specter/cls,2000
0.21756388715628439,14,19,specter/cls,2000
0.04211680150314401,14,20,specter/cls,2000
0.14954651926338436,14,21,specter/cls,2000
0.14633658895013546,14,22,specter/cls,2000
0.16389235623824372,14,23,specter/cls,2000
0.23800785820884018,14,24,specter/cls,2000
0.20813443368669915,14,25,specter/cls,2000
0.15873046482963615,14,26,specter/cls,2000
0.1763684652559735,14,27,specter/cls,2000
0.18731903860920562,14,28,specter/cls,2000
0.16521558784668489,14,29,specter/cls,2000
0.17697295278861136,14,30,specter/cls,2000
0.20298362387182967,14,31,specter/cls,2000
0.10480336955509939,14,32,specter/cls,2000
