outcome,model_a,model_b,intercept,same_architecture,same_lineage,same_final_corpus_group,same_objective,same_domain,same_pooling
neighbors_2048_cls_k25,mpnet,minilm,1.0,0.0,0.0,1.0,1.0,1.0,1.0
neighbors_2048_cls_k25,mpnet,pubmedbert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_cls_k25,mpnet,biobert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_cls_k25,mpnet,simcse,1.0,0.0,0.0,0.0,0.0,1.0,0.0
neighbors_2048_cls_k25,minilm,pubmedbert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_cls_k25,minilm,biobert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_cls_k25,minilm,simcse,1.0,0.0,0.0,0.0,0.0,1.0,0.0
neighbors_2048_cls_k25,pubmedbert,biobert,1.0,1.0,0.0,0.0,1.0,1.0,1.0
neighbors_2048_cls_k25,pubmedbert,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
neighbors_2048_cls_k25,biobert,simcse,1.0,1.0,1.0,0.0,0.0,0.0,1.0
neighbors_2048_sep_k25,specter,specter2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neighbors_2048_sep_k25,specter,scincl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neighbors_2048_sep_k25,specter,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
neighbors_2048_sep_k25,specter,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,specter,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,specter,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,specter,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,specter,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,specter,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
neighbors_2048_sep_k25,specter2,scincl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neighbors_2048_sep_k25,specter2,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
neighbors_2048_sep_k25,specter2,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,specter2,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,specter2,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,specter2,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,specter2,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,specter2,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
neighbors_2048_sep_k25,scincl,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
neighbors_2048_sep_k25,scincl,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,scincl,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,scincl,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,scincl,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,scincl,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,scincl,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
neighbors_2048_sep_k25,scibert,bert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
neighbors_2048_sep_k25,scibert,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,scibert,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,scibert,pubmedbert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
neighbors_2048_sep_k25,scibert,biobert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
neighbors_2048_sep_k25,scibert,simcse,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,bert,mpnet,1.0,0.0,0.0,0.0,0.0,1.0,0.0
neighbors_2048_sep_k25,bert,minilm,1.0,0.0,0.0,0.0,0.0,1.0,0.0
neighbors_2048_sep_k25,bert,pubmedbert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
neighbors_2048_sep_k25,bert,biobert,1.0,1.0,1.0,0.0,1.0,0.0,1.0
neighbors_2048_sep_k25,bert,simcse,1.0,1.0,1.0,0.0,0.0,1.0,0.0
neighbors_2048_sep_k25,mpnet,minilm,1.0,0.0,0.0,1.0,1.0,1.0,1.0
neighbors_2048_sep_k25,mpnet,pubmedbert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,mpnet,biobert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,mpnet,simcse,1.0,0.0,0.0,0.0,0.0,1.0,0.0
neighbors_2048_sep_k25,minilm,pubmedbert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,minilm,biobert,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,minilm,simcse,1.0,0.0,0.0,0.0,0.0,1.0,0.0
neighbors_2048_sep_k25,pubmedbert,biobert,1.0,1.0,0.0,0.0,1.0,1.0,1.0
neighbors_2048_sep_k25,pubmedbert,simcse,1.0,1.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_sep_k25,biobert,simcse,1.0,1.0,1.0,0.0,0.0,0.0,0.0
