model,field_id,field,period_start,cohort,rows,truncated,truncated_percent
specter,11,Agricultural and Biological Sciences,2000,base,1663,100,6.013229104028864
specter,11,Agricultural and Biological Sciences,2000,extra,503,26,5.168986083499006
specter,11,Agricultural and Biological Sciences,2005,base,2528,172,6.80379746835443
specter,11,Agricultural and Biological Sciences,2010,base,3940,252,6.395939086294416
specter,11,Agricultural and Biological Sciences,2015,base,4298,319,7.422056770590973
specter,11,Agricultural and Biological Sciences,2020,base,6491,529,8.149745801879526
specter,12,Arts and Humanities,2000,base,847,96,11.334120425029516
specter,12,Arts and Humanities,2000,extra,1319,141,10.689916603487491
specter,12,Arts and Humanities,2005,base,1551,180,11.60541586073501
specter,12,Arts and Humanities,2005,extra,615,83,13.495934959349594
specter,12,Arts and Humanities,2010,base,2186,250,11.436413540713632
specter,12,Arts and Humanities,2015,base,2732,288,10.541727672035138
specter,12,Arts and Humanities,2020,base,3380,462,13.668639053254438
specter,13,"Biochemistry, Genetics and Molecular Biology",2000,base,2739,166,6.0606060606060606
specter,13,"Biochemistry, Genetics and Molecular Biology",2005,base,4071,246,6.04274134119381
specter,13,"Biochemistry, Genetics and Molecular Biology",2010,base,5251,324,6.170253285088554
specter,13,"Biochemistry, Genetics and Molecular Biology",2015,base,5596,464,8.291636883488206
specter,13,"Biochemistry, Genetics and Molecular Biology",2020,base,6840,487,7.119883040935672
specter,14,"Business, Management and Accounting",2000,base,762,28,3.674540682414698
specter,14,"Business, Management and Accounting",2000,extra,1404,35,2.492877492877493
specter,14,"Business, Management and Accounting",2005,base,1489,50,3.3579583613163195
specter,14,"Business, Management and Accounting",2005,extra,677,18,2.658788774002954
specter,14,"Business, Management and Accounting",2010,base,2186,61,2.7904849039341264
specter,14,"Business, Management and Accounting",2015,base,2660,111,4.172932330827067
specter,14,"Business, Management and Accounting",2020,base,4040,142,3.514851485148515
specter,15,Chemical Engineering,2000,base,161,3,1.8633540372670807
specter,15,Chemical Engineering,2000,extra,2005,43,2.144638403990025
specter,15,Chemical Engineering,2005,base,214,3,1.4018691588785046
specter,15,Chemical Engineering,2005,extra,1952,48,2.459016393442623
specter,15,Chemical Engineering,2010,base,246,7,2.845528455284553
specter,15,Chemical Engineering,2010,extra,1920,59,3.0729166666666665
specter,15,Chemical Engineering,2015,base,255,4,1.5686274509803921
specter,15,Chemical Engineering,2015,extra,1911,45,2.3547880690737832
specter,15,Chemical Engineering,2020,base,319,7,2.19435736677116
specter,15,Chemical Engineering,2020,extra,1847,55,2.977801840822956
specter,16,Chemistry,2000,base,931,36,3.866809881847476
specter,16,Chemistry,2000,extra,1235,52,4.2105263157894735
specter,16,Chemistry,2005,base,1358,37,2.72459499263623
specter,16,Chemistry,2005,extra,808,36,4.455445544554456
specter,16,Chemistry,2010,base,1686,64,3.795966785290629
specter,16,Chemistry,2010,extra,480,18,3.75
specter,16,Chemistry,2015,base,1555,49,3.1511254019292605
specter,16,Chemistry,2015,extra,611,24,3.927986906710311
specter,16,Chemistry,2020,base,1760,61,3.465909090909091
specter,16,Chemistry,2020,extra,406,21,5.172413793103448
specter,17,Computer Science,2000,base,3310,37,1.1178247734138973
specter,17,Computer Science,2005,base,5594,62,1.1083303539506615
specter,17,Computer Science,2010,base,7094,73,1.0290386241894558
specter,17,Computer Science,2015,base,6858,123,1.7935258092738409
specter,17,Computer Science,2020,base,9972,210,2.10589651022864
specter,18,Decision Sciences,2000,base,290,8,2.7586206896551726
specter,18,Decision Sciences,2000,extra,1876,51,2.718550106609808
specter,18,Decision Sciences,2005,base,567,24,4.232804232804233
specter,18,Decision Sciences,2005,extra,1599,36,2.25140712945591
specter,18,Decision Sciences,2010,base,883,28,3.1710079275198186
specter,18,Decision Sciences,2010,extra,1283,36,2.8059236165237724
specter,18,Decision Sciences,2015,base,921,29,3.1487513572204127
specter,18,Decision Sciences,2015,extra,1245,35,2.8112449799196786
specter,18,Decision Sciences,2020,base,1156,36,3.114186851211073
specter,18,Decision Sciences,2020,extra,1010,31,3.0693069306930694
specter,19,Earth and Planetary Sciences,2000,base,851,64,7.520564042303173
specter,19,Earth and Planetary Sciences,2000,extra,1315,106,8.060836501901141
specter,19,Earth and Planetary Sciences,2005,base,1203,92,7.647547797173733
specter,19,Earth and Planetary Sciences,2005,extra,963,62,6.438213914849429
specter,19,Earth and Planetary Sciences,2010,base,1604,108,6.733167082294265
specter,19,Earth and Planetary Sciences,2010,extra,562,42,7.473309608540926
specter,19,Earth and Planetary Sciences,2015,base,1716,137,7.983682983682984
specter,19,Earth and Planetary Sciences,2015,extra,450,43,9.555555555555555
specter,19,Earth and Planetary Sciences,2020,base,1882,163,8.660998937300745
specter,19,Earth and Planetary Sciences,2020,extra,284,23,8.098591549295774
specter,20,"Economics, Econometrics and Finance",2000,base,773,36,4.657179818887451
specter,20,"Economics, Econometrics and Finance",2000,extra,1393,61,4.379038047379756
specter,20,"Economics, Econometrics and Finance",2005,base,1236,55,4.449838187702265
specter,20,"Economics, Econometrics and Finance",2005,extra,930,35,3.763440860215054
specter,20,"Economics, Econometrics and Finance",2010,base,1849,99,5.354245538128718
specter,20,"Economics, Econometrics and Finance",2010,extra,317,12,3.7854889589905363
specter,20,"Economics, Econometrics and Finance",2015,base,1917,91,4.747000521648409
specter,20,"Economics, Econometrics and Finance",2015,extra,249,9,3.6144578313253013
specter,20,"Economics, Econometrics and Finance",2020,base,2845,164,5.764499121265378
specter,21,Energy,2000,base,116,2,1.7241379310344827
specter,21,Energy,2000,extra,2050,66,3.2195121951219514
specter,21,Energy,2005,base,240,8,3.3333333333333335
specter,21,Energy,2005,extra,1926,47,2.4402907580477673
specter,21,Energy,2010,base,591,13,2.1996615905245345
specter,21,Energy,2010,extra,1575,24,1.5238095238095237
specter,21,Energy,2015,base,680,20,2.9411764705882355
specter,21,Energy,2015,extra,1486,32,2.1534320323014806
specter,21,Energy,2020,base,990,16,1.6161616161616161
specter,21,Energy,2020,extra,1176,25,2.1258503401360542
specter,22,Engineering,2000,base,6990,93,1.3304721030042919
specter,22,Engineering,2005,base,11310,159,1.4058355437665782
specter,22,Engineering,2010,base,15203,216,1.420772216009998
specter,22,Engineering,2015,base,14738,310,2.1034061609444974
specter,22,Engineering,2020,base,18907,391,2.0680171365102873
specter,23,Environmental Science,2000,base,1751,85,4.854368932038835
specter,23,Environmental Science,2000,extra,415,22,5.301204819277109
specter,23,Environmental Science,2005,base,2876,135,4.694019471488178
specter,23,Environmental Science,2010,base,4005,189,4.719101123595506
specter,23,Environmental Science,2015,base,4018,254,6.321553011448482
specter,23,Environmental Science,2020,base,5919,347,5.862476769724616
specter,24,Immunology and Microbiology,2000,base,534,25,4.681647940074907
specter,24,Immunology and Microbiology,2000,extra,1632,105,6.4338235294117645
specter,24,Immunology and Microbiology,2005,base,764,60,7.853403141361256
specter,24,Immunology and Microbiology,2005,extra,1402,98,6.990014265335235
specter,24,Immunology and Microbiology,2010,base,924,71,7.683982683982684
specter,24,Immunology and Microbiology,2010,extra,1242,96,7.729468599033816
specter,24,Immunology and Microbiology,2015,base,1028,95,9.24124513618677
specter,24,Immunology and Microbiology,2015,extra,1138,108,9.490333919156415
specter,24,Immunology and Microbiology,2020,base,1206,121,10.033167495854062
specter,24,Immunology and Microbiology,2020,extra,960,104,10.833333333333334
specter,25,Materials Science,2000,base,1292,28,2.1671826625387
specter,25,Materials Science,2000,extra,874,12,1.3729977116704806
specter,25,Materials Science,2005,base,2142,46,2.1475256769374416
specter,25,Materials Science,2005,extra,24,1,4.166666666666667
specter,25,Materials Science,2010,base,2962,49,1.6542876434841323
specter,25,Materials Science,2015,base,3152,75,2.3794416243654823
specter,25,Materials Science,2020,base,3787,134,3.5384209136519673
specter,26,Mathematics,2000,base,386,8,2.0725388601036268
specter,26,Mathematics,2000,extra,1780,29,1.6292134831460674
specter,26,Mathematics,2005,base,639,7,1.0954616588419406
specter,26,Mathematics,2005,extra,1527,14,0.91683038637852
specter,26,Mathematics,2010,base,893,12,1.343784994400896
specter,26,Mathematics,2010,extra,1273,21,1.6496465043205029
specter,26,Mathematics,2015,base,1108,23,2.0758122743682312
specter,26,Mathematics,2015,extra,1058,15,1.4177693761814745
specter,26,Mathematics,2020,base,1555,41,2.6366559485530545
specter,26,Mathematics,2020,extra,611,21,3.436988543371522
specter,27,Medicine,2000,base,7128,577,8.094837261503928
specter,27,Medicine,2005,base,10946,929,8.487118582130458
specter,27,Medicine,2010,base,15771,1528,9.688669076152431
specter,27,Medicine,2015,base,18629,2191,11.761232486982662
specter,27,Medicine,2020,base,26195,3384,12.91849589616339
specter,28,Neuroscience,2000,base,718,29,4.03899721448468
specter,28,Neuroscience,2000,extra,1448,76,5.248618784530387
specter,28,Neuroscience,2005,base,1005,48,4.776119402985074
specter,28,Neuroscience,2005,extra,1161,46,3.962101636520241
specter,28,Neuroscience,2010,base,1408,69,4.900568181818182
specter,28,Neuroscience,2010,extra,758,35,4.617414248021108
specter,28,Neuroscience,2015,base,1640,83,5.060975609756097
specter,28,Neuroscience,2015,extra,526,30,5.7034220532319395
specter,28,Neuroscience,2020,base,2053,119,5.7963955187530445
specter,28,Neuroscience,2020,extra,113,11,9.734513274336283
specter,29,Nursing,2000,base,182,13,7.142857142857143
specter,29,Nursing,2000,extra,1984,141,7.106854838709677
specter,29,Nursing,2005,base,285,22,7.719298245614035
specter,29,Nursing,2005,extra,1881,116,6.166932482721957
specter,29,Nursing,2010,base,453,25,5.518763796909492
specter,29,Nursing,2010,extra,1713,111,6.479859894921191
specter,29,Nursing,2015,base,497,46,9.25553319919517
specter,29,Nursing,2015,extra,1669,148,8.867585380467347
specter,29,Nursing,2020,base,660,65,9.848484848484848
specter,29,Nursing,2020,extra,1506,141,9.362549800796813
specter,30,"Pharmacology, Toxicology and Pharmaceutics",2000,base,154,8,5.194805194805195
specter,30,"Pharmacology, Toxicology and Pharmaceutics",2000,extra,2012,141,7.007952286282306
specter,30,"Pharmacology, Toxicology and Pharmaceutics",2005,base,272,15,5.514705882352941
specter,30,"Pharmacology, Toxicology and Pharmaceutics",2005,extra,1894,88,4.646251319957761
specter,30,"Pharmacology, Toxicology and Pharmaceutics",2010,base,442,26,5.882352941176471
specter,30,"Pharmacology, Toxicology and Pharmaceutics",2010,extra,1724,58,3.3642691415313224
specter,30,"Pharmacology, Toxicology and Pharmaceutics",2015,base,376,26,6.914893617021277
specter,30,"Pharmacology, Toxicology and Pharmaceutics",2015,extra,1790,150,8.379888268156424
specter,30,"Pharmacology, Toxicology and Pharmaceutics",2020,base,471,31,6.581740976645436
specter,30,"Pharmacology, Toxicology and Pharmaceutics",2020,extra,1695,125,7.374631268436578
specter,31,Physics and Astronomy,2000,base,2116,46,2.1739130434782608
specter,31,Physics and Astronomy,2000,extra,50,1,2.0
specter,31,Physics and Astronomy,2005,base,2704,69,2.551775147928994
specter,31,Physics and Astronomy,2010,base,3094,76,2.4563671622495153
specter,31,Physics and Astronomy,2015,base,3388,72,2.125147579693034
specter,31,Physics and Astronomy,2020,base,3470,91,2.622478386167147
specter,32,Psychology,2000,base,838,37,4.41527446300716
specter,32,Psychology,2000,extra,1328,63,4.743975903614458
specter,32,Psychology,2005,base,1342,60,4.470938897168406
specter,32,Psychology,2005,extra,824,41,4.975728155339806
specter,32,Psychology,2010,base,2089,94,4.4997606510292005
specter,32,Psychology,2010,extra,77,2,2.5974025974025974
specter,32,Psychology,2015,base,2577,113,4.384943733022895
specter,32,Psychology,2020,base,3970,237,5.969773299748111
specter,33,Social Sciences,2000,base,2776,146,5.259365994236311
specter,33,Social Sciences,2005,base,4893,313,6.396893521357041
specter,33,Social Sciences,2010,base,7110,423,5.949367088607595
specter,33,Social Sciences,2015,base,8891,613,6.894612529524238
specter,33,Social Sciences,2020,base,13879,915,6.592693998126666
specter,34,Veterinary,2000,base,58,1,1.7241379310344827
specter,34,Veterinary,2000,extra,2108,149,7.06831119544592
specter,34,Veterinary,2005,base,100,10,10.0
specter,34,Veterinary,2005,extra,2066,154,7.454017424975799
specter,34,Veterinary,2010,base,107,11,10.280373831775702
specter,34,Veterinary,2010,extra,2058,159,7.725947521865889
specter,34,Veterinary,2015,base,165,13,7.878787878787879
specter,34,Veterinary,2015,extra,2000,191,9.55
specter,34,Veterinary,2020,base,212,34,16.037735849056602
specter,34,Veterinary,2020,extra,1953,250,12.800819252432156
specter,35,Dentistry,2000,base,159,5,3.1446540880503147
specter,35,Dentistry,2000,extra,2006,102,5.084745762711864
specter,35,Dentistry,2005,base,260,16,6.153846153846154
specter,35,Dentistry,2005,extra,1905,67,3.5170603674540684
specter,35,Dentistry,2010,base,441,15,3.401360544217687
specter,35,Dentistry,2010,extra,1724,78,4.524361948955916
specter,35,Dentistry,2015,base,544,37,6.801470588235294
specter,35,Dentistry,2015,extra,1621,75,4.626773596545342
